Symbol;Description;Category2;Category3;Sector;Market cap;Dividend yield;Country;Action
LULU;Lululemon Athletica Inc;Common stocks;Large cap;Consumer Discretionary;$49,729,429,377;0.00%;USA;Analyze
CMG;Chipotle Mexican Grill Inc;Common stocks;Large cap;Consumer Discretionary;$49,693,879,493;0.00%;USA;Analyze
MCHP;Microchip Technology Inc;Common stocks;Large cap;Information Technology;$49,577,698,117;0.60%;USA;Analyze
DASH;DoorDash Inc;Common stocks;Large cap;Consumer Discretionary;$49,567,666,400;0.00%;USA;Analyze
DLR;Digital Realty Trust, Inc;REITs;Large cap;Real Estate;$49,237,123,616;2.65%;USA;Analyze
CNC;Centene Corp;Common stocks;Large cap;Health Care;$49,230,142,373;0.00%;USA;Analyze
PAYX;Paychex Inc;Common stocks;Large cap;Information Technology;$48,910,527,567;1.90%;USA;Analyze
BK;Bank Of New York Mellon Corp;Common stocks;Large cap;Financials;$48,327,048,607;2.20%;USA;Analyze
NEM;Newmont Corporation;Common stocks;Large cap;Materials;$47,989,656,595;3.61%;USA;Analyze
A;Agilent Technologies Inc;Common stocks;Large cap;Health Care;$47,939,606,516;0.49%;USA;Analyze
TT;Trane Technologies plc;Common stocks;Large cap;Industrials;$47,522,288,011;1.17%;USA;Analyze
SCCO;Southern Copper Corp;Common stocks;Large cap;Materials;$47,397,612,602;5.12%;Peru;Analyze
AIG;American International Group Inc;Common stocks;Large cap;Financials;$47,243,933,895;2.23%;USA;Analyze
DDOG;Datadog, Inc. - Class A;Common stocks;Large cap;Information Technology;$47,187,921,848;0.00%;USA;Analyze
KMB;Kimberly Clark Corp;Common stocks;Large cap;Consumer Staples;$47,072,997,736;3.22%;USA;Analyze
ORLY;Oreilly Automotive Inc;Common stocks;Large cap;Consumer Discretionary;$46,655,496,526;0.00%;USA;Analyze
CARR;Carrier Global Corporation;Common stocks;Large cap;Industrials;$46,388,291,410;0.95%;USA;Analyze
CTSH;Cognizant Technology Solutions;Common stocks;Large cap;Information Technology;$46,269,425,248;1.08%;USA;Analyze
ZS;Zscaler Inc;Common stocks;Large cap;Information Technology;$46,211,545,085;0.00%;USA;Analyze
STZ;Constellation Brands Class A;Common stocks;Large cap;Consumer Staples;$46,138,879,174;1.22%;USA;Analyze
CTAS;Cintas Corp;Common stocks;Large cap;Industrials;$45,714,442,418;0.77%;USA;Analyze
MSI;Motorola Solutions Inc;Common stocks;Large cap;Information Technology;$45,419,912,473;1.08%;USA;Analyze
PXD;Pioneer Natural Resource;Common stocks;Large cap;Energy;$45,352,717,635;1.67%;USA;Analyze
KKR;KKR & Co Inc.;Common stocks;Large cap;Financials;$45,191,962,863;0.56%;USA;Analyze
TROW;T Rowe Price Group Inc;Common stocks;Large cap;Financials;$44,797,437,886;2.13%;USA;Analyze
APTV;Aptiv Plc;Common stocks;Large cap;Consumer Discretionary;$44,215,536,183;0.00%;Ireland;Analyze
TWLO;Twilio Inc Class A;Common stocks;Large cap;Information Technology;$44,190,808,347;0.00%;USA;Analyze
WBA;Walgreen Boots Alliance Inc;Common stocks;Large cap;Consumer Staples;$43,912,514,921;3.67%;USA;Analyze
AEP;American Electric Power Inc;Common stocks;Large cap;Utilities;$43,857,988,033;3.40%;USA;Analyze
CRWD;CrowdStrike Holdings, Inc. - Class A;Common stocks;Large cap;Information Technology;$43,648,567,261;0.00%;USA;Analyze
RSG;Republic Services Inc;Common stocks;Large cap;Industrials;$43,530,773,458;1.26%;USA;Analyze
KHC;Kraft Heinz;Common stocks;Large cap;Consumer Staples;$43,367,824,393;4.44%;USA;Analyze
BAX;Baxter International Inc;Common stocks;Large cap;Health Care;$43,360,051,991;1.25%;USA;Analyze
HLT;Hilton Worldwide Holdings Inc;Common stocks;Large cap;Consumer Discretionary;$43,282,689,998;0.00%;USA;Analyze
NET;Cloudflare, Inc. Class A;Common stocks;Large cap;Information Technology;$42,696,262,000;0.00%;USA;Analyze
EBAY;Ebay Inc;Common stocks;Large cap;Consumer Discretionary;$42,682,664,156;1.09%;USA;Analyze
TTD;Trade Desk Inc Class A;Common stocks;Large cap;Information Technology;$42,595,991,787;0.00%;USA;Analyze
U;Unity Software Inc.;Common stocks;Large cap;Information Technology;$42,332,427,722;0.00%;USA;Analyze
SPOT;Spotify Technology SA;Common stocks;Large cap;Communication Services;$42,314,180,000;0.00%;Luxembourg;Analyze
AZO;Autozone Inc;Common stocks;Large cap;Consumer Discretionary;$42,239,846,676;0.00%;USA;Analyze
SBAC;SBA Communications Corporation;REITs;Large cap;Real Estate;$41,998,411,359;0.60%;USA;Analyze
SLB;Schlumberger Nv;Common stocks;Large cap;Energy;$41,854,556,366;1.67%;USA;Analyze
DD;DuPont de Nemours, Inc.;Common stocks;Large cap;Materials;$41,745,154,589;1.49%;USA;Analyze
SRE;Sempra Energy;Common stocks;Large cap;Utilities;$41,563,775,563;4.18%;USA;Analyze
DOW;Dow Inc.;Common stocks;Large cap;Materials;$41,322,257,198;4.93%;USA;Analyze
LHX;L3Harris Technologies, Inc.;Common stocks;Large cap;Industrials;$41,272,102,895;1.93%;USA;Analyze
HPQ;HP Inc;Common stocks;Large cap;Information Technology;$41,251,729,498;2.17%;USA;Analyze
PRU;Prudential Financial Inc;Common stocks;Large cap;Financials;$41,137,740,000;4.16%;USA;Analyze
DELL;Dell Technologies Inc. Class C;Common stocks;Large cap;Information Technology;$40,978,400,000;0.00%;USA;Analyze
ODFL;Old Dominion Freight Line Inc;Common stocks;Large cap;Industrials;$40,897,972,763;0.22%;USA;Analyze
PH;Parker-Hannifin Corp;Common stocks;Large cap;Industrials;$40,678,838,073;1.25%;USA;Analyze
SIVB;SVB Financial Group;Common stocks;Large cap;Financials;$40,471,999,271;0.00%;USA;Analyze
YUM;Yum Brands Inc;Common stocks;Large cap;Consumer Discretionary;$40,455,299,545;1.44%;USA;Analyze
ROK;Rockwell Automation Inc;Common stocks;Large cap;Industrials;$40,398,344,198;1.24%;USA;Analyze
PPG;PPG Industries Inc;Common stocks;Large cap;Materials;$40,296,420,788;1.32%;USA;Analyze
GIS;General Mills Inc;Common stocks;Large cap;Consumer Staples;$39,847,834,602;3.06%;USA;Analyze
SYY;Sysco Corp;Common stocks;Large cap;Consumer Staples;$39,735,993,146;2.35%;USA;Analyze
ROST;Ross Stores Inc;Common stocks;Large cap;Consumer Discretionary;$39,703,662,322;1.01%;USA;Analyze
EPAM;Epam Systems Inc;Common stocks;Large cap;Information Technology;$39,533,532,623;0.00%;USA;Analyze
HSY;Hershey Foods;Common stocks;Large cap;Consumer Staples;$39,522,002,960;1.78%;USA;Analyze
MPC;Marathon Petroleum Corp;Common stocks;Large cap;Energy;$39,446,858,598;3.57%;USA;Analyze
GPN;Global Payments Inc;Common stocks;Large cap;Information Technology;$38,746,764,674;0.66%;USA;Analyze
AFL;Aflac Inc;Common stocks;Large cap;Financials;$38,500,942,346;2.25%;USA;Analyze
MTD;Mettler Toledo Inc;Common stocks;Large cap;Health Care;$38,464,424,934;0.00%;USA;Analyze
TRV;Travelers Companies Inc;Common stocks;Large cap;Financials;$38,387,195,519;2.22%;USA;Analyze
RMD;Resmed Inc;Common stocks;Large cap;Health Care;$38,189,663,824;0.62%;USA;Analyze
KEYS;Keysight Technologies Inc;Common stocks;Large cap;Information Technology;$38,060,022,451;0.00%;USA;Analyze
MTCH;Match Group Inc;Common stocks;Large cap;Communication Services;$37,936,262,661;1.50%;USA;Analyze
DHI;D R Horton Inc;Common stocks;Large cap;Consumer Discretionary;$37,830,025,644;0.77%;USA;Analyze
EA;Electronic Arts Inc;Common stocks;Large cap;Communication Services;$37,624,795,345;0.51%;USA;Analyze
MCK;Mckesson Corp;Common stocks;Large cap;Health Care;$37,459,042,606;0.72%;USA;Analyze
MDB;MongoDB, Inc. Class A;Common stocks;Large cap;Information Technology;$37,327,668,785;0.00%;USA;Analyze
IFF;International Flavors & Fragrances;Common stocks;Large cap;Materials;$36,962,768,999;2.14%;USA;Analyze
ADM;Archer-Daniels-Midland Company;Common stocks;Large cap;Consumer Staples;$36,962,284,048;2.22%;USA;Analyze
OTIS;Otis Worldwide Corporation;Common stocks;Large cap;Industrials;$36,751,010,852;0.83%;USA;Analyze
VRSK;Verisk Analytics Inc;Common stocks;Large cap;Industrials;$36,649,708,289;0.51%;USA;Analyze
WELL;Welltower Inc;REITs;Large cap;Real Estate;$36,580,471,333;2.87%;USA;Analyze
FAST;Fastenal;Common stocks;Large cap;Industrials;$36,568,886,047;1.75%;USA;Analyze
VEEV;Veeva Systems Inc Class A;Common stocks;Large cap;Health Care;$36,541,396,156;0.00%;USA;Analyze
